"EmployerName","EmployerId","Address","PostCode","CompanyNumber","SicCodes","DiffMeanHourlyPercent","DiffMedianHourlyPercent","DiffMeanBonusPercent","DiffMedianBonusPercent","MaleBonusPercent","FemaleBonusPercent","MaleLowerQuartile","FemaleLowerQuartile","MaleLowerMiddleQuartile","FemaleLowerMiddleQuartile","MaleUpperMiddleQuartile","FemaleUpperMiddleQuartile","MaleTopQuartile","FemaleTopQuartile","CompanyLinkToGPGInfo","ResponsiblePerson","EmployerSize","CurrentName","SubmittedAfterTheDeadline","DueDate","DateSubmitted"
"1509 GROUP","15320","Royal Grammar School, High Street, Guildford, Surrey, GU1 3BB","GU1 3BB","04104101","85200,
85310","16.13","19.99","","","0","0","38.46","61.54","35.94","64.06","56.25","43.75","65.62","34.38","https://rgsg.co.uk","Catherine Perceval (Bursar)","250 to 499","1509 GROUP","False","2023/04/05 00:00:00","2022/11/08 14:07:47"
"23.5 DEGREES LIMITED","694","Unit 3 Hedge End Retail Park, Charles Watts Way, Hedge End, Southampton, Hampshire, England, SO30 4RT","SO30 4RT","08014079","56103","15","1","74","25","13","8","25","75","26","74","23","77","38","62","","Sarah Stephenson (HR & Payroll Manager)","1000 to 4999","23.5 DEGREES LIMITED","False","2023/04/05 00:00:00","2023/01/03 08:11:05"
"24 X 7 LTD.","695","Little Easton Manor Park Road, Little Easton, Dunmow, Essex, England, CM6 2JN","CM6 2JN","04142000","52290","-1","0","","","0","0","50","50","49","51","51","49","51","49","","lisa Hyem (FD)","1000 to 4999","24 X 7 LTD.","False","2023/04/05 00:00:00","2023/01/20 15:06:39"
"3 WAY CLEANING LIMITED","17503","Unit 7 Capstan Centre,, Thurrock Park Way, Tilbury, Essex, RM18 7HH","RM18 7HH","03457928","81210","2.5","1","73.4","73.4","0.7","0.5","46.5","53.5","40.9","59.1","47.7","52.3","42.2","57.8","","Sue Hawkins (Operations and Finance Compliance Manager)","500 to 999","3 WAY CLEANING LIMITED","False","2023/04/05 00:00:00","2023/01/02 12:46:01"
"A P P WHOLESALE LIMITED","21477","Unit 1 Radford Industrial Estate, Goodhall Street, London, England, NW10 6UA","NW10 6UA","06552800","46740","11.6","-17.6","37.1","0","85","84","82","18","92.1","7.9","86.9","13.1","78.5","21.5","https://www.lordsgrouptradingplc.co.uk/docs/lordsgrouptradinglimitedlibraries/archive/gender-pay-gap/gender-pay-report-2022.pdf","Chris Day (CFO)","250 to 499","A P P WHOLESALE LIMITED","False","2023/04/05 00:00:00","2022/12/12 14:59:46"
"A.J.N. STEELSTOCK LTD.","14835","Icknield Way, Kentford, Newmarket, Suffolk, CB8 7QT","CB8 7QT","00689647","46720","16.2","3.3","-20","0","71","81","82.3","17.7","85.3","14.7","89.2","10.8","87.1","12.9","https://www.ajnsteelstock.co.uk/wp-content/uploads/2022/10/2022-Gender-Pay-Gap-Report.pdf","Courtney Bell (FD)","250 to 499","A.J.N. STEELSTOCK LTD.","False","2023/04/05 00:00:00","2022/10/11 15:34:17"
"AB AGRI LIMITED","762","Weston Centre, 10 Grosvenor Street, London, W1K 4QY","W1K 4QY","00193800","10910","-1.2","-7.4","-7.3","-163.1","88","85.3","64.7","35.3","81.1","18.9","70.8","29.2","63.8","36.2","","Craig Peck (Head of Reward & Global Mobility)","1000 to 4999","AB AGRI LIMITED","False","2023/04/05 00:00:00","2022/12/12 11:07:20"
"AB WORLD FOODS LIMITED","764","Weston Centre, 10 Grosvenor Street, London, W1K 4QY","W1K 4QY","01400901","10890","-8.6","-12.3","10.3","-20.8","86","86.9","61.4","38.6","66.3","33.7","66.3","33.7","44.6","55.4","https://abworldfoods.com/documents/ABWF_Gender_Pay_Gap_Narrative_2022.pdf","Andy Mayhew (Managing Director)","250 to 499","AB WORLD FOODS LIMITED","False","2023/04/05 00:00:00","2022/09/30 09:45:25"
"ABACUS EMPLOYMENT SERVICES LIMITED","767","1 Chequers Road, Basingstoke, Hampshire, England, RG21 7PU","RG21 7PU","02638307","78200","-3.0","3.2","","","0","0","71.5","28.5","79.2","20.8","78.5","21.5","80.9","19.1","http://www.abacus-employment.com","Phil James (Finance Manager)","250 to 499","ABACUS EMPLOYMENT SERVICES LIMITED","False","2023/04/05 00:00:00","2022/04/13 14:57:04"
"ABC TEACHERS LIMITED","14780","First Floor (South) Cathedral Buildings, Dean Street, Newcastle Upon Tyne, United Kingdom, NE1 1PG","NE1 1PG","05480764","78101,
85310","10.4","9.4","67.6","79.2","6.3","2.2","13","87","19","81","16","84","26","74","https://www.abc-teachers.co.uk/view_pdf/genderpaygap","Liam Roberts (Chief Executive Officer)","500 to 999","ABC TEACHERS LIMITED","False","2023/04/05 00:00:00","2023/01/04 09:16:06"
